id,food_type
211,Biryani
211,Chinese
211,North Indian
211,South Indian
221,Mughlai
221,Lucknowi
246,Chinese
248,North Indian
248,Punjabi
248,Tandoor
248,Chinese
249,Rajasthani
249,Gujarati
249,North Indian
249,Snacks
249,Desserts
249,Beverages
249,Thalis
249,Chaat
254,Mughlai
254,North Indian
258,Mexican
258,Beverages
258,Salads
263,Desserts
263,British
263,Bakery
263,Pizzas
263,Snacks
267,American
267,Italian
267,Beverages
267,Continental
267,Chinese
267,Pastas
267,Pizzas
267,Fast Food
308,Bengali
435,Chinese
435,Thai
435,Nepalese
446,North Indian
446,Chinese
453,Mughlai
453,North Indian
453,Biryani
464,American
464,Continental
504,Fast Food
504,Beverages
504,Bengali
504,Biryani
504,Indian
504,North Indian
504,Snacks
504,Street Food
604,Mughlai
604,North Indian
608,Kerala
608,Seafood
621,Bengali
621,Fast Food
621,Chinese
1050,Seafood
1050,Andhra
1050,Biryani
1050,South Indian
1050,Combo
1050,Desserts
1050,Beverages
1299,Mughlai
1299,North Indian
1299,Chinese
1299,Thai
1299,Asian
1304,Mughlai
1304,Bengali
1457,North Indian
1457,Chinese
1457,South Indian
1547,Arabian
1547,Biryani
1547,North Indian
1547,Chinese
1590,Biryani
1590,Tandoor
1590,Chinese
1590,Indian
1590,Desserts
1590,Kebabs
1590,Mughlai
1593,Desserts
1593,Fast Food
1593,Bakery
1609,Chinese  Thai  Asian
1617,Mughlai
1617,North Indian
1617,Chinese
1617,Seafood
1617,Italian
1844,Chinese
1844,Seafood
1848,Steakhouse
1848,American
1874,Chinese
1874,Asian
1874,Pan-Asian
1874,Thai
1874,Oriental
1884,Chinese
1884,Asian
1884,Thai
2008,British
2008,Italian
2008,Indian
2008,Chinese
2008,South Indian
2008,North Indian
2008,Desserts
2042,Thalis
2042,North Indian
2042,Punjabi
2042,Beverages
2047,Biryani
2047,Mughlai
2047,North Indian
2047,Chinese
2102,Continental
2102,Desserts
2250,Mughlai
2250,North Indian
2250,Chinese
2250,Biryani
2312,North Indian
2344,North Indian  South Indian
2348,Biryani  North Indian  Chinese  Tandoor
2516,Mughlai
2516,North Indian
2516,Seafood
2516,Biryani
2770,North Indian  Chinese  Desserts  Continental  South Indian
2776,Ice Cream
2776,Beverages
2776,Desserts
2776,Chaat
2776,Italian
2777,Chinese
2795,South Indian
2795,North Indian
2795,Chinese
2796,Biryani
2796,North Indian
2796,Chinese
2796,Tandoor
2811,Ice Cream
2811,Desserts
2811,Beverages
2820,Tandoor
2820,Mughlai
2820,North Indian
2820,Kebabs
2824,Biryani
2824,Tandoor
2824,Kebabs
2824,Barbecue
2824,Fast Food
2827,Chinese
2832,Desserts
2832,Ice Cream
2832,Bakery
2832,Fast Food
2839,Chinese
2839,Continental
2839,Fast Food
2840,North Indian
2840,Indian
2843,Punjabi
2843,North Indian
2914,Andhra
2915,Fast Food
2964,Mughlai
2964,North Indian
2964,Chinese
2964,Seafood
3007,North Indian
3007,Chinese
3007,Tandoor
3007,Biryani
3007,Beverages
3007,Desserts
3010,North Indian
3010,Biryani
3010,Chinese
3018,Bengali
3020,Continental
3020,American
3020,Cafe
3022,Biryani
